time|EDP
2003|1.9426613673913042
2004|2.198756024324326
2005|2.2481712062256785
2006|3.148705882352944
2007|4.171058823529413
2008|3.4730234374999975
2009|2.855382812500002
2010|2.6547131782945734
2011|2.502961089494162
2012|2.0713867187500004
2013|2.54224705882353
2014|3.3063450980392157
2015|3.369746093750001
2016|2.9491361867704287
2017|3.013803921568628
2018|3.1577490196078455
2019|3.3207445652173924
