,Year,avg_drought,avg_max_temp_month,avg_max_temp,Produtividade aparente do trabalho
0,1995,249.71428571428572,30.25714285714286,21.657142857142855,18177.0
1,1996,225.42857142857142,29.14285714285714,20.328571428571426,18879.4
2,1997,234.42857142857142,28.585714285714285,21.342857142857145,19967.8
3,1998,258.57142857142856,30.271428571428572,21.014285714285716,20877.2
4,1999,250.0,29.428571428571427,20.52857142857143,21996.7
5,2000,237.14285714285714,28.75714285714286,20.599999999999998,23142.6
6,2001,244.57142857142858,28.55714285714286,20.54285714285714,24192.7
7,2002,233.71428571428572,28.571428571428573,20.599999999999998,25244.5
8,2003,241.85714285714286,30.885714285714283,20.928571428571427,26191.5
9,2004,265.2857142857143,29.714285714285715,20.928571428571427,27500.2
10,2005,276.2857142857143,30.52857142857143,21.12857142857143,28498.2
11,2006,250.71428571428572,30.485714285714288,21.157142857142862,29728.0
12,2007,270.7142857142857,28.471428571428568,20.685714285714283,31539.3
13,2008,252.14285714285714,27.985714285714288,20.457142857142856,32257.1
14,2009,246.57142857142858,30.0,21.228571428571428,33097.1
15,2010,234.85714285714286,31.085714285714282,20.74285714285714,34088.0
16,2011,259.85714285714283,28.571428571428573,21.58571428571429,34066.8
17,2015,262.7142857142857,29.985714285714288,21.528571428571432,36242.6
18,2016,240.42857142857142,31.357142857142858,21.32857142857143,36703.8
